Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ALKEM,4,2536,2653.1,10612.4,468.4,4.62,-1.73
ASIANPAINT,5,1605.35,1767.5,8837.5,810.75,10.1,-3.12
BERGEPAINT,30,464.62,517.25,15517.5,1579,11.33,-2.4
BHEL,620,21.4,20.95,12989,-280.5,-2.11,0
BIOCON,25,358.8,352.15,8803.75,-166.25,-1.85,0.04
CIPLA,30,592.97,596.25,17887.5,98.5,0.55,-0.39
DEEPAKNTR,55,418.56,507.1,27890.5,4869.65,21.15,4.43
DMART-BE,14,2212.34,2344.35,32820.9,1848.15,5.97,1.67
HDFC,5,1655.45,1836.75,9183.75,906.5,10.95,7.05
HDFCBANK,11,882.23,977.1,10748.1,1043.6,10.75,4.91
ICICIBANK,30,309.47,370.45,11113.5,1829.5,19.71,2.95
IPCALAB,35,1604.76,1592.6,55741,-425.75,-0.76,-3.18
JUBLFOOD,5,1300.1,1553.55,7767.75,1267.25,19.49,2.1
LT,10,775.2,875.35,8753.5,1001.5,12.92,2.12
RELIANCE,5,1042.55,1426.95,7134.75,1922,36.87,-0.08
SOLARA,20,584.8,616.2,12324,628,5.37,5.79
TATAMOTORS,65,72.07,78.15,5079.75,395.25,8.44,1.56
TCS,8,1704.45,1905.65,15245.2,1609.6,11.8,2.51
YESBANK,400,23.83,28.05,11220,1690,17.73,2.94
